investor_id,average_gap_days,total_sips,total_investment,status
INV000309,52.0,8,63146,At Risk
INV000310,75.83,7,46368,At Risk
INV000311,152.0,3,35987,At Risk
INV000312,119.75,5,81778,At Risk
INV000313,310.0,2,8609,At Risk
INV000314,69.0,4,25676,At Risk
INV000315,75.67,4,22652,At Risk
INV000316,86.75,5,19722,At Risk
INV000317,146.33,4,89858,At Risk
INV000318,97.4,6,69726,At Risk
INV000319,73.5,7,40143,At Risk
INV000320,70.0,5,50090,At Risk
INV000321,72.83,7,91225,At Risk
INV000322,121.0,3,16080,At Risk
INV000323,67.0,3,58186,At Risk
INV000325,227.0,2,15414,At Risk
INV000326,154.5,3,12576,At Risk
INV000327,50.0,2,3412,At Risk
INV000328,37.5,9,64273,At Risk
INV000329,88.67,4,5399,At Risk
INV000330,137.0,4,78597,At Risk
INV000331,50.71,8,124378,At Risk
INV000332,27.33,4,38247,Regular
INV000333,150.33,4,78960,At Risk
INV000334,25.5,7,43720,Regular
INV000335,96.0,6,68848,At Risk
INV000336,150.0,2,3390,At Risk
INV000337,103.5,5,45013,At Risk
INV000339,94.0,6,74556,At Risk
INV000340,32.0,5,16047,Regular
INV000341,54.43,8,76460,At Risk
INV000343,248.0,2,10563,At Risk
INV000344,30.5,5,43861,Regular
INV000348,284.0,2,27792,At Risk
INV000349,106.33,4,12082,At Risk
INV000350,85.0,2,16928,At Risk
INV000351,86.5,5,113992,At Risk
INV000352,80.75,5,76719,At Risk
INV000354,234.5,3,19776,At Risk
INV000356,54.4,6,72865,At Risk
INV000357,85.5,3,56746,At Risk
INV000359,54.12,9,93451,At Risk
INV000360,122.0,5,72198,At Risk
INV000361,98.0,3,23700,At Risk
INV000363,77.0,7,59677,At Risk
INV000364,94.5,3,63594,At Risk
INV000366,82.0,4,76007,At Risk
INV000367,56.33,4,10541,At Risk
INV000369,43.8,6,22654,At Risk
INV000370,116.75,5,52274,At Risk
INV000371,59.29,8,71985,At Risk
INV000372,54.5,7,89873,At Risk
INV000373,48.0,2,24390,At Risk
INV000374,127.67,4,97927,At Risk
INV000377,75.25,5,78141,At Risk
INV000378,117.5,3,30205,At Risk
INV000379,44.0,3,60315,At Risk
INV000380,97.0,6,72700,At Risk
INV000383,107.25,5,39552,At Risk
INV000384,78.25,5,68361,At Risk
INV000385,92.67,4,27374,At Risk
INV000387,103.0,3,11978,At Risk
INV000388,53.62,9,109420,At Risk
INV000389,127.5,3,20023,At Risk
INV000390,135.5,3,102028,At Risk
INV000392,77.17,7,39530,At Risk
INV000393,43.0,2,43455,At Risk
INV000394,90.0,5,65359,At Risk
INV000395,55.67,7,23004,At Risk
INV000396,83.2,6,46049,At Risk
INV000397,128.0,4,3959,At Risk
INV000399,49.56,10,58193,At Risk
INV000400,62.6,6,21256,At Risk
INV000401,21.33,4,50948,Regular
INV000402,94.0,4,14519,At Risk
INV000403,58.2,6,74178,At Risk
INV000405,65.0,2,9002,At Risk
INV000407,82.4,6,112123,At Risk
INV000408,46.8,6,47374,At Risk
INV000409,375.0,2,6064,At Risk
INV000410,92.25,5,37556,At Risk
INV000411,67.0,4,85039,At Risk
INV000412,43.71,8,87441,At Risk
INV000413,102.5,5,54889,At Risk
INV000414,66.29,8,95455,At Risk
INV000415,66.17,7,42775,At Risk
INV000416,119.0,2,4016,At Risk
INV000417,104.33,4,22125,At Risk
INV000418,86.8,6,113497,At Risk
INV000419,112.0,3,13528,At Risk
INV000421,91.67,4,44980,At Risk
INV000423,187.5,3,15602,At Risk
INV000425,39.5,3,13108,At Risk
INV000426,39.0,2,18264,At Risk
INV000427,68.5,7,106145,At Risk
INV000428,52.14,8,54350,At Risk
INV000429,77.2,6,117284,At Risk
INV000430,148.67,4,118892,At Risk
INV000431,86.25,5,32159,At Risk
INV000432,216.0,3,25847,At Risk
INV000433,66.5,5,31556,At Risk
INV000436,73.0,5,65446,At Risk
INV000437,97.8,6,32739,At Risk
INV000438,184.0,2,6765,At Risk
INV000439,24.25,5,23483,Regular
INV000440,69.57,8,33647,At Risk
INV000441,60.8,6,45638,At Risk
INV000442,217.5,3,7756,At Risk
INV000443,373.0,2,13335,At Risk
INV000444,73.2,6,76737,At Risk
INV000445,57.75,9,52898,At Risk
INV000446,38.6,6,31195,At Risk
INV000449,46.8,6,59567,At Risk
INV000452,49.38,9,84270,At Risk
INV000453,98.0,4,49714,At Risk
INV000454,232.5,3,35819,At Risk
INV000455,75.0,2,16211,At Risk
INV000456,45.25,5,47781,At Risk
INV000457,91.4,6,32725,At Risk
INV000458,81.75,5,17466,At Risk
INV000459,82.0,4,89870,At Risk
INV000460,43.4,6,35369,At Risk
INV000461,67.5,3,98422,At Risk
INV000462,79.0,2,53418,At Risk
INV000463,65.17,7,144163,At Risk
INV000465,102.67,4,66368,At Risk
INV000466,73.33,7,125151,At Risk
INV000467,56.67,10,65408,At Risk
INV000469,70.5,7,34180,At Risk
INV000470,401.0,2,43708,At Risk
INV000471,121.0,3,51736,At Risk
INV000473,105.0,4,108177,At Risk
INV000474,103.5,5,25773,At Risk
INV000475,90.0,2,20311,At Risk
INV000476,10.0,3,98307,Regular
INV000478,61.0,2,60372,At Risk
INV000479,99.0,2,58383,At Risk
INV000480,105.0,5,37737,At Risk
INV000481,156.33,4,41099,At Risk
INV000482,133.5,3,88120,At Risk
INV000483,70.43,8,142115,At Risk
INV000485,138.67,4,21963,At Risk
INV000487,88.25,5,108421,At Risk
INV000488,102.33,4,32148,At Risk
INV000489,66.0,4,32126,At Risk
INV000490,231.0,2,26821,At Risk
INV000491,95.0,6,43008,At Risk
INV000492,145.33,4,36704,At Risk
INV000493,47.56,10,130085,At Risk
INV000494,74.0,4,83366,At Risk
INV000495,24.75,5,65926,Regular
INV000496,81.25,5,56728,At Risk
INV000497,71.83,7,72087,At Risk
INV000499,77.83,7,127344,At Risk
INV000500,133.0,3,37012,At Risk
INV000501,100.5,3,30878,At Risk
INV000505,93.33,4,87515,At Risk
INV000506,71.5,3,30433,At Risk
INV000507,70.17,7,58920,At Risk
INV000509,61.0,3,22654,At Risk
INV000510,190.0,2,23703,At Risk
INV000511,132.67,4,61822,At Risk
INV000512,54.75,9,73426,At Risk
INV000513,103.0,2,9171,At Risk
INV000514,100.67,4,30557,At Risk
INV000517,20.0,3,29680,Regular
INV000519,108.0,3,59902,At Risk
INV000520,64.5,3,11531,At Risk
INV000521,70.0,3,9397,At Risk
INV000522,100.8,6,28275,At Risk
INV000523,92.25,5,21159,At Risk
INV000524,55.0,7,118571,At Risk
INV000525,68.75,5,78605,At Risk
INV000526,47.5,3,17674,At Risk
INV000527,50.8,6,115570,At Risk
INV000529,59.2,6,23027,At Risk
INV000530,104.0,3,64425,At Risk
INV000531,47.0,7,151584,At Risk
INV000532,73.0,5,29625,At Risk
INV000533,148.0,4,98523,At Risk
INV000535,154.0,4,51987,At Risk
INV000536,25.0,2,19215,Regular
INV000537,200.0,2,15423,At Risk
INV000538,39.5,3,88547,At Risk
INV000539,77.0,7,107371,At Risk
INV000540,73.5,7,78276,At Risk
INV000541,56.0,2,23749,At Risk
INV000542,164.33,4,8791,At Risk
INV000543,83.67,7,162711,At Risk
INV000544,99.33,4,37410,At Risk
INV000545,80.6,6,48548,At Risk
INV000546,55.0,9,92002,At Risk
INV000547,55.8,6,37135,At Risk
INV000548,133.67,4,11750,At Risk
INV000549,96.2,6,86784,At Risk
INV000550,149.0,4,14026,At Risk
INV000551,160.0,3,35347,At Risk
INV000552,116.0,5,27399,At Risk
INV000553,72.0,6,54698,At Risk
INV000554,70.2,6,56741,At Risk
INV000555,58.0,2,27356,At Risk
INV000556,52.43,8,126416,At Risk
INV000557,102.5,5,65440,At Risk
INV000558,74.67,4,30231,At Risk
INV000559,50.0,3,60025,At Risk
INV000560,62.0,3,19970,At Risk
INV000562,74.4,6,48292,At Risk
INV000563,76.33,7,59358,At Risk
INV000564,162.0,2,9356,At Risk
INV000565,181.0,2,14056,At Risk
INV000566,35.0,7,120009,Regular
INV000567,63.8,6,33277,At Risk
INV000568,62.4,6,106953,At Risk
INV000569,77.75,5,46322,At Risk
INV000570,67.29,8,136242,At Risk
INV000572,224.0,3,20500,At Risk
INV000573,50.83,7,114632,At Risk
INV000574,6.0,2,23769,Regular
INV000575,71.6,6,43192,At Risk
INV000576,76.0,5,10061,At Risk
INV000577,32.25,5,66339,Regular
INV000578,66.83,7,91996,At Risk
INV000580,55.75,5,73774,At Risk
INV000581,78.33,7,58863,At Risk
INV000583,32.5,3,11270,Regular
INV000584,111.75,5,44110,At Risk
INV000585,74.0,5,67578,At Risk
INV000586,44.5,7,138122,At Risk
INV000587,49.5,5,17266,At Risk
INV000589,59.12,9,69345,At Risk
INV000590,114.0,3,23777,At Risk
INV000591,64.5,7,15867,At Risk
INV000592,109.67,4,13946,At Risk
INV000593,74.2,6,31078,At Risk
INV000595,104.25,5,25119,At Risk
INV000596,51.75,9,169915,At Risk
INV000597,88.6,6,82488,At Risk
INV000598,124.33,4,42468,At Risk
INV000599,81.5,7,103758,At Risk
INV000600,148.0,4,39785,At Risk
INV000601,73.5,5,32099,At Risk
INV000602,103.0,5,41346,At Risk
INV000603,132.67,4,11214,At Risk
INV000604,127.67,4,78430,At Risk
INV000606,98.67,4,7371,At Risk
INV000607,66.67,7,38693,At Risk
INV000608,100.2,6,45475,At Risk
INV000609,47.0,6,44212,At Risk
INV000611,86.5,5,22840,At Risk
INV000612,49.3,11,123648,At Risk
INV000613,236.0,2,10756,At Risk
INV000614,3.0,2,16174,Regular
INV000615,55.83,7,29577,At Risk
INV000616,123.0,5,34771,At Risk
INV000618,7.0,2,6996,Regular
INV000619,45.0,5,28290,At Risk
INV000621,350.0,2,50328,At Risk
INV000622,89.5,5,21061,At Risk
INV000623,122.67,4,24900,At Risk
INV000624,31.67,7,131937,Regular
INV000625,86.4,6,23397,At Risk
INV000626,116.5,3,18745,At Risk
INV000628,304.0,2,59172,At Risk
INV000629,113.33,4,22599,At Risk
INV000630,68.67,7,55182,At Risk
INV000631,54.0,6,45319,At Risk
INV000633,107.75,5,71647,At Risk
INV000634,52.25,9,98595,At Risk
INV000635,75.0,6,30163,At Risk
INV000636,56.0,3,21480,At Risk
INV000637,38.0,3,30929,At Risk
INV000638,165.67,4,78419,At Risk
INV000639,84.0,3,57175,At Risk
INV000641,54.8,6,92825,At Risk
INV000642,53.5,9,109817,At Risk
INV000643,103.0,4,6899,At Risk
INV000644,11.33,4,10528,Regular
INV000645,66.0,6,26646,At Risk
INV000646,62.33,7,76212,At Risk
INV000648,65.33,4,32645,At Risk
INV000649,92.25,5,54134,At Risk
INV000650,217.0,3,16368,At Risk
INV000651,94.0,6,34381,At Risk
INV000652,93.8,6,34837,At Risk
INV000653,164.0,2,26554,At Risk
INV000656,141.0,3,4897,At Risk
INV000657,64.71,8,103388,At Risk
INV000658,94.75,5,88353,At Risk
INV000659,166.67,4,65748,At Risk
INV000660,52.5,5,113590,At Risk
INV000661,105.75,5,21151,At Risk
INV000662,66.14,8,34238,At Risk
INV000663,94.4,6,83316,At Risk
INV000664,91.67,4,39069,At Risk
INV000665,36.22,10,56140,At Risk
INV000666,77.25,5,37905,At Risk
INV000667,68.0,6,117715,At Risk
INV000668,254.0,3,15858,At Risk
INV000670,99.0,3,28574,At Risk
INV000671,125.0,4,26912,At Risk
INV000672,33.0,2,3281,Regular
INV000673,92.8,6,145533,At Risk
INV000675,62.8,6,23160,At Risk
INV000676,35.3,11,174741,At Risk
INV000678,63.33,7,36623,At Risk
INV000679,68.0,3,20282,At Risk
INV000680,158.0,2,2767,At Risk
INV000681,137.5,3,11354,At Risk
INV000682,374.0,2,12001,At Risk
INV000683,54.5,9,47678,At Risk
INV000684,201.5,3,41260,At Risk
INV000687,177.0,3,21362,At Risk
INV000688,81.0,2,28378,At Risk
INV000689,74.25,5,41027,At Risk
INV000690,56.29,8,169171,At Risk
INV000691,66.4,6,50363,At Risk
INV000693,378.0,2,13174,At Risk
INV000695,86.5,5,13748,At Risk
INV000696,104.67,4,26838,At Risk
INV000698,52.25,9,77848,At Risk
INV000699,42.8,6,51568,At Risk
INV000700,60.5,3,25789,At Risk
INV000701,83.67,7,51486,At Risk
INV000702,287.0,2,34324,At Risk
INV000703,173.0,3,13024,At Risk
INV000704,101.25,5,11058,At Risk
INV000705,247.0,2,4660,At Risk
INV000706,93.5,5,25657,At Risk
INV000707,34.38,9,50988,Regular
INV000708,131.67,4,16605,At Risk
INV000709,65.17,7,143724,At Risk
INV000710,88.6,6,62975,At Risk
INV000711,130.67,4,15652,At Risk
INV000713,114.5,3,55284,At Risk
INV000714,37.0,9,47519,At Risk
INV000715,58.75,5,7436,At Risk
INV000717,155.33,4,87704,At Risk
INV000718,57.83,7,52719,At Risk
INV000719,72.83,7,131252,At Risk
INV000720,123.75,5,41139,At Risk
INV000721,52.0,4,29700,At Risk
INV000722,114.0,3,10657,At Risk
INV000723,108.25,5,39694,At Risk
INV000724,81.2,6,33281,At Risk
INV000725,67.67,7,89962,At Risk
INV000726,151.0,2,1359,At Risk
INV000727,13.0,3,14806,Regular
INV000728,37.75,5,81972,At Risk
INV000729,146.33,4,93518,At Risk
INV000731,19.0,2,38186,Regular
INV000732,82.0,4,28254,At Risk
INV000733,355.0,2,31854,At Risk
INV000734,64.0,8,108076,At Risk
INV000735,143.33,4,39361,At Risk
INV000736,99.75,5,52229,At Risk
INV000737,92.6,6,146341,At Risk
INV000738,53.67,4,18807,At Risk
INV000739,68.67,4,15614,At Risk
INV000741,89.75,5,87055,At Risk
INV000742,91.33,4,61790,At Risk
INV000743,158.0,3,69046,At Risk
INV000744,76.33,4,27141,At Risk
INV000745,144.0,4,11126,At Risk
INV000746,209.0,2,30090,At Risk
INV000747,84.6,6,86939,At Risk
INV000748,175.0,2,6449,At Risk
INV000749,111.25,5,82387,At Risk
INV000750,26.5,9,95979,Regular
INV000751,53.0,9,42163,At Risk
INV000752,197.0,3,23834,At Risk
INV000753,134.5,3,12084,At Risk
INV000754,72.33,7,97616,At Risk
INV000755,120.0,3,50083,At Risk
INV000756,78.0,4,71393,At Risk
INV000757,208.5,3,20881,At Risk
INV000758,113.5,5,37302,At Risk
INV000759,83.0,7,44038,At Risk
INV000760,148.0,2,3673,At Risk
INV000761,75.17,7,115474,At Risk
INV000762,118.0,2,12589,At Risk
INV000764,100.75,5,40185,At Risk
INV000765,99.33,4,8701,At Risk
INV000766,177.5,3,10243,At Risk
INV000767,123.5,3,70935,At Risk
INV000768,60.0,8,81075,At Risk
INV000769,85.75,5,56860,At Risk
INV000771,121.67,4,15457,At Risk
INV000772,46.0,6,88779,At Risk
INV000774,73.67,7,83715,At Risk
INV000775,73.33,4,63619,At Risk
INV000776,59.43,8,40424,At Risk
INV000777,66.0,6,20946,At Risk
INV000778,59.71,8,99237,At Risk
INV000779,75.0,6,12215,At Risk
INV000781,83.0,4,50132,At Risk
INV000782,42.5,5,24369,At Risk
INV000783,89.8,6,138175,At Risk
INV000784,435.0,2,4082,At Risk
INV000785,32.6,6,29312,Regular
INV000786,64.12,9,73859,At Risk
INV000788,105.0,4,29398,At Risk
INV000789,55.14,8,110683,At Risk
INV000791,107.0,4,35158,At Risk
INV000792,271.0,2,17894,At Risk
INV000793,69.14,8,105129,At Risk
INV000796,146.5,3,20529,At Risk
INV000797,156.0,4,126466,At Risk
INV000799,121.25,5,38647,At Risk
INV000800,144.67,4,25104,At Risk
INV000801,107.0,3,31259,At Risk
INV000803,77.17,7,75412,At Risk
INV000804,160.5,3,72534,At Risk
INV000806,83.0,4,39230,At Risk
INV000808,208.0,3,19945,At Risk
INV000809,120.67,4,40565,At Risk
INV000810,85.5,5,66001,At Risk
INV000811,291.0,2,18497,At Risk
INV000813,121.33,4,76203,At Risk
INV000814,94.0,6,111708,At Risk
INV000815,266.0,2,3066,At Risk
INV000816,149.5,3,16915,At Risk
INV000818,422.0,2,50459,At Risk
INV000819,87.5,3,77902,At Risk
INV000820,207.0,2,46300,At Risk
INV000821,53.0,2,3747,At Risk
INV000822,55.5,7,68933,At Risk
INV000823,39.67,7,49395,At Risk
INV000824,211.0,3,15468,At Risk
INV000825,127.0,3,18835,At Risk
INV000826,214.0,3,24082,At Risk
INV000827,58.29,8,46159,At Risk
INV000829,117.75,5,18735,At Risk
INV000830,72.2,6,77141,At Risk
INV000831,67.5,5,22090,At Risk
INV000832,251.0,2,24501,At Risk
INV000833,67.29,8,88699,At Risk
INV000834,130.0,3,47401,At Risk
INV000836,84.8,6,127974,At Risk
INV000838,176.0,2,40595,At Risk
INV000840,191.0,3,30685,At Risk
INV000841,176.0,3,63076,At Risk
INV000843,55.6,6,49484,At Risk
INV000844,66.17,7,48647,At Risk
INV000845,105.5,3,15458,At Risk
INV000846,181.0,3,5501,At Risk
INV000847,47.8,6,20771,At Risk
INV000849,61.33,4,11713,At Risk
INV000850,41.5,3,11031,At Risk
INV000851,83.75,5,73114,At Risk
INV000852,215.0,3,24693,At Risk
INV000853,49.33,10,61865,At Risk
INV000854,61.25,9,149355,At Risk
INV000855,229.0,3,2528,At Risk
INV000856,78.25,5,21123,At Risk
INV000857,19.0,4,41446,Regular
INV000858,44.88,9,70918,At Risk
INV000859,264.0,2,5154,At Risk
INV000860,106.75,5,53397,At Risk
INV000861,106.75,5,87362,At Risk
INV000862,91.2,6,119139,At Risk
INV000864,40.8,6,72191,At Risk
INV000865,45.75,9,164885,At Risk
INV000867,234.0,2,3222,At Risk
INV000869,65.4,6,29400,At Risk
INV000870,68.0,5,57265,At Risk
INV000873,73.5,7,44839,At Risk
INV000874,62.12,9,38895,At Risk
INV000876,48.67,4,99540,At Risk
INV000877,59.4,6,116062,At Risk
INV000878,66.0,2,66812,At Risk
INV000879,85.0,3,8346,At Risk
INV000880,141.33,4,19939,At Risk
INV000881,46.11,10,61437,At Risk
INV000883,257.0,2,3332,At Risk
INV000884,38.0,2,2330,At Risk
INV000885,108.75,5,56488,At Risk
INV000887,65.67,7,115877,At Risk
INV000888,80.33,7,98413,At Risk
INV000889,263.0,2,11646,At Risk
INV000890,24.5,3,3907,Regular
INV000891,126.67,4,54949,At Risk
